veracity,claims
FALSE,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”"
FALSE," “After the collapse of the Soviet Union, the United States and its satellites deployed a network of biolaboratories in the space of the former Soviet republics – in Georgia, Ukraine, Azerbaijan, Uzbekistan, Kazakhstan, and Armenia …”"
MOSTLY-TRUE,Texas is “50th in the nation in mental health care access.”
FALSE, President Biden is giving the World Health Organization control over U.S. health care and national sovereignty
MOSTLY-TRUE,"“When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.”"
BLATANT-LIE,Monkeypox is a Symptoms Of ‘Vaccine Induced AIDS’
BLATANT-LIE," ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian."
BLATANT-LIE,Photo shows Russians queuing up to purchase their final McDonald’s meal
FALSE,“Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance”
FALSE,A post shared on Facebook claims Johns Hopkins University confirmed polymerase chain reaction (PCR) tests can vaccinate patients.
FALSE,Russia Went Back To Using A Gold Standard.
BLATANT-LIE,Facebook video shows “counting Biden’s votes at 2 a.m.”
FALSE,“Russian president Vladimir Putin meets with South Korean President.”
FALSE,Cloud seeding caused record-breaking floods in Queensland and NSW.
FALSE,Claimed that he had not suggested increasing federal income taxes on “over half of Americans” in his 11-point plan.
FALSE,CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on COVID-19 mortality in the United States
BLATANT-LIE,Federal Reserve is owned by a small group of banking families.
MOSTLY-TRUE,"Gov. Tony Evers has “only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.”"
TRUE, Did former U.S. President Donald Trump call Russian President Vladimir Putin’s stated Ukraine strategy “savvy” and “genius.”
BLATANT-LIE, “In accordance with Article 51 of Part 7 of the U.N. Charter … I have decided to conduct a special military operation. Its purpose is to protect people who have been subjected to scorn and genocide by the Kyiv regime for eight years.
FALSE,Photo shows Empire State Building lit up to support Ukraine.
BLATANT-LIE,Ghost of Kyiv has been shot down per APNews he had 15 kills.
MOSTLY-FALSE,"“Under Greg Abbott’s leadership, Texas is putting taxpayer dollars into Chinese companies.”"
TRUE, A Taliban spokesperson released a statement calling for “restraint by both parties” and “to resolve the crisis through dialogue and peaceful means.”
FALSE,Video cameras in cell where Epstein’s alleged model-agent pimp Jean-Luc Brunel was found dead reportedly not working at the time.
BLATANT-LIE,"“According to reports, the U.S. Embassy provided $1 million a day to support the so-called protest camp on Independence Square in Kyiv.”"
FALSE,“Republican leadership has not been clear about whether they support Rep. Ramthun’s illegal and undemocratic resolution” on the 2020 election.
BLATANT-LIE,purportedly shows the “Ukrainian headquarters” exploding after being bombed by the Russians.
BLATANT-LIE,CNN identified “Bernie Gores” as the “first American casualty of the Ukraine crisis.”
BLATANT-LIE,Photo shows African youths disfigured by vaccines
FALSE,“Bill Gates hatches ‘horribly stupid’ plan to block out the sun”
BLATANT-LIE,"“Ukraine has the nuclear technologies created back in the Soviet times and delivery vehicles for such weapons, including aircraft, as well as the Soviet-designed Tochka-U precision tactical missiles with a range of over 100 kilometers.”"
MOSTLY-FALSE,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”
BLATANT-LIE,"Rocket Launch Failure Killed 295 Russians On February 24, 2022."
BLATANT-LIE,“I’m the one that ended [the Nord Stream 2] pipeline” from Russia to Germany.
FALSE,Sen. Ron Johnson has been “rewarding companies that outsource to China.”
BLATANT-LIE, “The Russian Defense Ministry stated that only officers and contractors are participating in the military operation in Ukraine.”
FALSE,"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”"
FALSE,Gov. Greg Abbott has ordered “Family and Protective Services to begin investigating all trans children in Texas and prosecuting their parents as abusers.”
FALSE,Gun manufacturing is “the only industry in America that can’t be sued.”
BLATANT-LIE, Taiwan’s COVID-19 Vaccine Deaths Higher Than All Virus Fatalities.
MOSTLY-FALSE,January 2022 fentanyl seizures show “illicit drugs are flowing into the country at an alarming rate because of Biden’s open border.”
FALSE,“Putin has ordered his military to seek and destroy US-Deep State bio-labs” in Ukraine.
TRUE, The word “propaganda” was misspelled “propoganda” at CPAC 2022.
BLATANT-LIE,The 2020 election “was stolen from Donald J. Trump.”
BLATANT-LIE, Photo shows Ukrainian President Volodymyr Zelenskyy visiting front line troops during the February 2022 invasion by Russia.
MOSTLY-FALSE,“We now have the scientific evidence that shows the risk of myocarditis for young males is greater for the vaccine than it is for the disease.”
FALSE,“I’ve been in and out of Iraq and Afghanistan over 40 times.”
TRUE, A Russian businessman offered a $1 million bounty for President Vladimir Putin’s arrest.
FALSE,Build Back Better “would be a huge payday for Chinese manufacturing” and “would fill our streets with cars made with Chinese parts.”
BLATANT-LIE,Ottawa threatened to euthanize truckers pets as punishment
FALSE,“Hillary Clinton spied on President Trump.”
BLATANT-LIE,Russian President Vladimir Putin said that Gilgit-Baltistan should be part of India.
MOSTLY-FALSE,Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”
BLATANT-LIE,CNN Did Report That Explosion In Ukraine Was ‘Peaceful’
FALSE,“CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on COVID-19 mortality in the U.S.”
BLATANT-LIE,Former beauty queen Anastasiia Lenna joined the Ukrainian military.
MOSTLY-TRUE,"“Under my plan, nobody earning less than $400,000 a year will pay an additional penny in new taxes. Not a single penny.”"
FALSE,The Therapeutic Goods Administration overturned a ban on ivermectin as a treatment for COVID-19.
BLATANT-LIE,Video shows Ukrainian crisis actors come to life after pretending to be dead.
BLATANT-LIE, The Ukrainian Flag Was Draped On The Statue Of Liberty.
MOSTLY-FALSE,The IRS is taking money away from people who received unemployment benefits.
FALSE," COVID-19 vaccine mRNA is converted to DNA and enters the cell’s nucleus, so the vaccines can potentially change our DNA"
TRUE," Ukrainian Deputy Prime Minister Mykhailo Fedorov wrote a letter to Meta CEO Mark Zuckerberg, calling for the company to block access to Facebook and Instagram in Russia."
FALSE,Video shows voter fraud by the BJP during the 2022 Uttar Pradesh elections.
FALSE,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.
BLATANT-LIE,allegedly shows a Chevron gas station in California where gasoline prices are listed at over $9 a gallon.
MOSTLY-FALSE,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”"
BLATANT-LIE, A photograph shows Ukrainian President Volodymyr Zelenskyy holding a swastika jersey.
BLATANT-LIE, Video Of Putin’s Hand Going Through Microphone Is Proof Of Green Screen.
BLATANT-LIE, NATO Laptop With Intelligence was Found At Headquarters Of Ukrainian Nationalists
FALSE,“Johns Hopkins” study finds “lockdowns” had “little to no” impact on COVID-19 deaths.
BLATANT-LIE,American Megachurches are not offering Relief and Support To The Ukrainian People
MOSTLY-TRUE,"“Here in Wisconsin, prescription drug costs grew at a pace of nearly twice as much as the average Wisconsinite’s income from 2015-2019.”"
BLATANT-LIE,allegedly shows a CNN chyron reporting that Russian President Vladimir Putin warned India against interfering in his invasion of Ukraine.
BLATANT-LIE,“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”
BLATANT-LIE,Coffee is proven to cause certain types of cancer.
MOSTLY-FALSE,"“Donald Trump’s appeasement of Putin wasn’t just a personal act of treason, it’s the Republican Party’s official position.”"
BLATANT-LIE,“Joe Biden caved to the radical environmentalists and stopped America’s Keystone pipeline and dramatically increased Americans’ dependence on Russian oil”
MOSTLY-FALSE,“We were energy independent one year ago.”
FALSE,"“In other words, you’re about 70 percent less likely to die if you take ivermectin compared to taking remdesivir”"
BLATANT-LIE,"Tamara Lich, leader of the Ottawa Trucker Convoy, found dead in her cell – reports"
FALSE," There are 430,000 more people in employment than before the pandemic began."
FALSE, The USA funds Bioweapons labs in Ukraine.
MOSTLY-TRUE,"The oil industry has “9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.”"
FALSE,Russian President Vladimir Putin quietly dispatched nuclear bomber aircraft to Venezuela during Russia’s invasion of Ukraine.
FALSE,"“Marco Rubio is following his party bosses, like Rick Scott, with his plan to raise taxes on Florida’s working families, retirees and veterans.”"
BLATANT-LIE, “COVID Deaths Have Been Vastly Overcounted”
FALSE,Joe Biden’s cancellation of the Keystone pipeline “dramatically increased Americans’ dependence on Russian oil.”
FALSE,Safety surveillance data in the Pfizer’s document shows harmful effects of the Pfizer-BioNTech COVID-19 vaccine
TRUE,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”
BLATANT-LIE," “Toria Nuland just confirmed that the Russian disinformation (Bioweapons) they’ve been telling us for days is a lie and a conspiracy theory and crazy and immoral to believe is, in fact, totally and completely true.”"
TRUE,“The US has made strides in reducing carbon emissions that other parts of the world have not.”
FALSE,“We are not planning to attack other countries. We didn’t attack Ukraine in the first place.”
FALSE,"Brian Kemp “dismissed concerns about voter fraud in the 2020 election” and “widespread illegal ballot harvesting continued, electing two Democrat senators.”"
BLATANT-LIE, Alexandria Ocasio-Cortez proposed a 10% tax on white people.
FALSE,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed.”"
BLATANT-LIE, claims a New York airport took legal possession of one of former President Donald Trump’s airplanes.
FALSE,"Disney+ has had over 350,000 cancellations in the last five days."
FALSE,Nigeria’s debt has increased by N4 trillion in the past six years.
FALSE, “The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”
BLATANT-LIE, “I have never asked the president to resign. So what the book said was not true.”
TRUE,Has a Wikipedia Co-Founder Complained About the Site’s Liberal Bias?
BLATANT-LIE, claims CNN anchor Chris Wallace quit the network after only three weeks on the air.
FALSE, Squalene in vaccines caused Gulf War Syndrome; the World Health Organization aims to depopulate the world with sterility-causing vaccines
FALSE,"“There is no country in the world that treats journalists more cruelly than Ukraine, the regime simply cannot stand freedom of speech …”"
BLATANT-LIE,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.
BLATANT-LIE,“We are watching what’s happening in the country … parents that are being attacked by the attorney general saying that somehow they are terrorists because they want to go to school board meetings.”
TRUE,"Cannabis reform “is supported by the majority of the residents of our state, including a majority of Republicans.”"
FALSE,“sooooo Red Cross won’t use vaxxed blood ??”
FALSE,A “physics professor” says a mind-control weapon was used successfully in the Gulf War to force Iraqi troops to surrender.
FALSE,Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.
BLATANT-LIE,Ukrainian refugees beat a Russian teenager to death in Germany.
MOSTLY-FALSE,“Medicare goes bankrupt in four years. Social Security goes bankrupt in 12 years.”
FALSE, An Albert Einstein paper contradicts carbon dioxide-driven climate change.
FALSE,“We are allowing human organisms to become bioweapon factories”
BLATANT-LIE,Video shows final moments before Boeing 737 plane crash in China
TRUE,Florida is “49th in the nation when it comes to (Medicaid) funding” for people with disabilities.
FALSE,Leonardo DiCaprio Donates $10 Million To Ukraine Armed Forces
FALSE,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”"
BLATANT-LIE,Shows Vice President Kamala Harris avoiding a question about how long Americans “should be bracing for this historic inflation and some unprecedented gas prices.”
FALSE," “According to data released by the U.S., it has 26 bio-labs and other related facilities in Ukraine, over which the U.S. Department of Defense has absolute control… the biological military activities of the U.S. in Ukraine are merely the tip of the iceberg.”"
MOSTLY-FALSE, Joe Biden “has been secretly flying illegal immigrants into communities across the country in the middle of the night.”
BLATANT-LIE,The FDA said vaccines are linked to heart attacks and deaths.
NO-EVIDENCE,Evidence that ivermectin works to treat COVID-19 is “powerful” and “overwhelming.”
BLATANT-LIE,"U.S. Government Secretly Paid Major Media Outlets to Promote COVID Vaccines, Suppress Negative Coverage"
FALSE,Video shows Russian President Vladimir Putin visited Air India aircraft to convince Indians.
FALSE,“While Ukrainians bled and died … Congressman Budd excused their killer.”
BLATANT-LIE,A university study shows that the Pfizer COVID-19 vaccine enters the nucleus of a human cell.
MOSTLY-FALSE,"“As soon as Biden took office, he eliminated all subsidies for fossil fuels.”"
BLATANT-LIE, allegedly shows one of the victims of the Russian invasion of Ukraine smoking a cigarette while wrapped in a body bag.
FALSE," “Russian muftis expressed support for the special operation in Ukraine and called it a forced preventive defensive measure, ‘based on the Holy Quran’.”"
TRUE,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”
BLATANT-LIE,Documents Were Published Confirming Moderna Created The COVID-19 Virus
BLATANT-LIE,"“What is happening here is not so different from what we’re seeing happening in Russia, where you have got state TV and controlled messaging across the board.”"
BLATANT-LIE,“I have never seen the CDC coming out saying” children should get four doses of the polio vaccine.
FALSE,The presence of apes calls into question the concept of evolution.
FALSE, Russia’s missile attack on the NATO training base at Javoriv killed 180 foreign mercenaries
MOSTLY-FALSE,Says Ron Johnson “is supporting the Republican plan that phases out Social Security and Medicare.”
BLATANT-LIE," Nato launched more than 10,000 air raids on Libya in 2011 with over 500,000 civilian casualities."
BLATANT-LIE,"“One year ago, these were side effects that Pfizer knew about” that “can cause you to die in any number of truly horrific ways.”"
BLATANT-LIE,Woman who accompanied Zelenskyy in March hospital visit died in February.
FALSE,Jan. 6 defendants “are being held in prison without being charged.”
FALSE," “During the liberation of Marinka, three instructors allegedly from the United States were killed, the people’s militia of the DNR reported.”"
BLATANT-LIE,A photo shows “NATO resupplying Ukrainian farmers anti-tank supplies.”
BLATANT-LIE," TV personalities such as Shark Tank investors, Dr. Phil and Dr. Oz endorsed CBD gummies; CBD gummies have numerous health benefits"
BLATANT-LIE,"Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg, which amounted to “a wave of massive election bribery.”"
BLATANT-LIE, Kiev regime was covertly preparing an offensive operation against Donbass
FALSE, Encephalitis caused by Pfizer’s Covid-19 vaccine.
MOSTLY-FALSE," The Conservatives cut the army from 98,000 personnel in 2010 to 72,500 in 2021 – a reduction of over 25,000."
FALSE,Ketanji Brown Jackson “gave a lecture talking about critical race theory as one of the components to consider when you are making decisions on the bench.”
FALSE,It is cheaper to fill a gas-powered vehicle than an electric one?
BLATANT-LIE,Ukraine is a country whose “government only exists because the Obama State Department helped to overthrow the previous regime.”
FALSE,Florida eliminated its gas tax.
BLATANT-LIE,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S."
FALSE," A Pfizer document contains a list of around 158,000 adverse events “from their vaccine”."
FALSE,The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events” listed in a confidential report.
MOSTLY-FALSE,"Natural immunity protects better than vaccination; “the mortality risk of an un-boosted person under age 30 was zero”; cloth face masks, school closures had zero benefits for children and some harm"
FALSE,“[Dr. Mehmet] Oz was a spokesman for a group who wanted to defund the police.”
TRUE,Oil companies saw massive jumps in their oil revenues.
BLATANT-LIE,"“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”"
MOSTLY-FALSE,The budget deficit and government debt are both five times higher under the coalition than they were under the previous Labor government.
FALSE,Biden “wants to buy lithium from China for electric cars.”
MOSTLY-TRUE,"The CDC “removed tens of thousands of deaths linked to COVID-19, including nearly a quarter of deaths it had listed in those under 18 years old”"
MOSTLY-FALSE,San Francisco changed the name of Abraham Lincoln High School.
MOSTLY-FALSE,Mo Brooks “voted to cut off funding to destroy ISIS terrorists in the middle of the fight.”
BLATANT-LIE,Canadian Government Did Publish Data Suggesting People Triple-Vaccinated For COVID-19 Have Developed AIDS and Are five times More Likely To Die Of COVID Than Unvaccinated.
FALSE,"In 2008, oil prices were 50 per cent higher than in 2022 but petrol was almost half the price."
FALSE,“It was Republicans who nominated the 1st Black woman to the SCOTUS & she was BLOCKED & filibustered by … Joe Biden.”
BLATANT-LIE,George Soros said on CNN he helped overthrow the former Ukrainian president.
FALSE,purportedly shows a man being arrested for wearing a shirt with the phrase “We the people” on it.
BLATANT-LIE,"CNN tweeted image of Serbian building, claimed it was bombed Ukraine hotel."
FALSE,“Accusing China of spreading disinformation related to Ukraine is in itself disinformation.”
BLATANT-LIE,"Chelsea Manning is in jail, while George Bush and Dick Cheney are free."
BLATANT-LIE, Leaked visitor logs revealed that Rep. Adam Schiff visited sex trafficker Jeffrey Epstein’s private island 78 times.
FALSE, To 
FALSE,60% of Democrats say they wouldn’t fight if America was invaded.
BLATANT-LIE,U.S. Army officially begins dishonorably discharging soldiers who haven’t taken the vaccine
FALSE,Employers can be jailed under the “Corporate Manslaughter Act” for adverse vaccine reactions suffered by their employees.
BLATANT-LIE, Ketanji Brown Jackson “believes in abortion on demand up to the moment of birth.”
BLATANT-LIE,Farmed salmon is poisonous and the dye used to make their grey flesh pink can cause humans to lose their eyesight
FALSE, Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.
FALSE,Bombshell Proof Of Colorado Election Machine Manipulation
BLATANT-LIE,Claims the government of Russia has announced a warrant for the arrest of billionaire George Soros.
BLATANT-LIE,White trail left behind by planes in sky spreads covid-19
BLATANT-LIE,The 2021 Georgia Senate runoff and the 2020 presidential election “were stolen.”
BLATANT-LIE,“Hunter Biden’s Rosemont Seneca investment fund financed the Pentagon’s military biological program in Ukraine.”
MOSTLY-FALSE,“New York state has already lost 99% of its historic freshwater wetlands.”
FALSE,Ukraine grows 25% Of the World’s Wheat.
BLATANT-LIE,The price of crude oil increased 513% between Joe Biden’s inauguration and the Russian invasion of Ukraine
BLATANT-LIE,Shane Warne’s son revealed his dad had chest pains from the COVID-19 vaccine prior to his death.
MOSTLY-FALSE,“An extra 2 whole months and 15 days. That’s how long it takes for white women to make the same amount men made in the same job last year. And it’s even worse for women of color.”
TRUE,Federal coverage for COVID-19 treatment and testing for uninsured Americans ended.
MOSTLY-FALSE,Biden told the press “I’m not gonna take any questions because I think it’s inappropriate”
FALSE,“Oxygen kills cancer”; Otto Warburg won two Nobel Prizes for proving lack of oxygen is the cause of cancer
TRUE,“Putin has the gall to say he’s ‘de-Nazifying’ Ukraine. It’s a lie.”
BLATANT-LIE,"Children in Israel, Finland, Sweden and Switzerland are provided with rifles at school."
FALSE,Photos show electric cars discarded in a garbage dump after batteries failed.
BLATANT-LIE,An email shows that employers are requiring employees to wear masks during Zoom meetings.
BLATANT-LIE,“Danish researchers […] found protection against Omicron turned negative three months after the second dose”
FALSE,“Half a million sharks could be killed to make the COVID-19 vaccine.”
FALSE,Ronald McDonald House Is Evicting All Unvaccinated Children.
FALSE,Barack Obama addressing people of Kenya prior to the 2022 General Elections.
FALSE,The ‘CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel’ cannot differentiate between Covid-19 and flu.
BLATANT-LIE,Stallone wore an anti-Joe Biden and anti-Anthony Fauci shirt.
BLATANT-LIE, Washington state is considering a proposal to create internment camps for the unvaccinated.
BLATANT-LIE,Post claims Bill Gates call for withdrawal of COVID-19 vaccines.
BLATANT-LIE,"By the end of January 2022, all vaccinated Germans will have AIDS and be 100% more vulnerable to Covid infections."
FALSE,Carlos Gimenez “wants a national database to track you and discriminate against you.”
BLATANT-LIE,4-Year-Old Cancer Patient Denied Make-A-Wish Over Vax Status.
FALSE,Claims that all transactions totaling over $600 made on third-party payment apps like Venmo and PayPal will now be subject to taxes.
TRUE,“The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.”
FALSE,“The shots were not studied in pregnant women”; “we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together.”
FALSE,COVID-19 vaccine ingredients are not disclosed.
FALSE,"“Blue Cross Blue Shield pays your doctor a $40,000 bonus for fully vaccinating at least 100 patients under the age of two.”"
BLATANT-LIE,"The COVID-19 vaccine contains bacteria and HIV, prevents body from making new white blood cells."
MOSTLY-FALSE,“Mask mandates on children lead to learning loss that harms early childhood development.”
NO-EVIDENCE,Glyphosate Is Responsible For Celiac Disease And Gluten Intolerance.
TRUE, U-Haul ran out of moving equipment for Californians leaving the state.
FALSE,"We now have 420,000 more people in employment than there were before the pandemic began."
MOSTLY-FALSE,“This country’s working people actually got a raise.”
BLATANT-LIE,"Claims Trey Gowdy said one fifth of the population is attempting to convince everyone else “that 2000 years of history, structure, cultural norms, and philosophy is suddenly wrong…”"
MOSTLY-FALSE,“People are 7% poorer now because of Biden inflation.”
NO-EVIDENCE,Zinc supplements can protect against COVID-19; Zinc “kills the virus” and zinc ionophores are a “a zinc delivery system” that “allows zinc to go from outside the cell to inside the cell”
BLATANT-LIE,Claims World Economic Forum (WEF) executive chairman Klaus Schwab predicted the erasure of 4 billion “useless eaters” by 2050.
FALSE,Raghav Chadha said Raghav Chadha will curb alcohol problems in Punjab since he is an alcoholic himself
FALSE,"Justice Sonia Sotomayor tested positive for COVID-19, according to Facebook post showing image with altered CNBC headline."
BLATANT-LIE,NASA ‘admits’ polar ice has increased since 1979 and denies significant warming over the last 18 years
MOSTLY-TRUE,Omicron is “the fastest-spreading virus known to humankind.”
BLATANT-LIE,The Purpose Of COVID-19 Vaccines Is To ‘Kill Off A Large Proportion Of The Population’
BLATANT-LIE,A video shared on Facebook purportedly shows Slovenian tennis player Dalila Jakupović collapsing during a match at the 2022 Australian Open.
FALSE,Video shows Chinese schoolchildren wearing hazmat suits
BLATANT-LIE,“Ashli Babbitt Tried To Stop Antifa False Flag On Jan 6th”
BLATANT-LIE,Researchers Discovered ‘Various Foreign Objects’ Like Worms In Pfizer-BioNTech COVID-19 Vaccine
MOSTLY-FALSE,A Black Lives Matter administrator was arrested in a 1983 bombing at the U.S. Capitol.
BLATANT-LIE,Hackers Cracked Pfizer And Moderna Servers And Reveal Vaccine Death Data.
FALSE,The COVID-19 vaccines are experimental
FALSE,NZ Prime Minister Jacinda Ardern expressed gushing support for Philippines presidential candidate Ferdinand “Bongbong” Marcos Jr.
BLATANT-LIE,"Estimated annual COVID-19 deaths in the U.S. totals 27,530, after you subtract those who died “with, not from” COVID-19, not in nursing homes and who didn’t have four or more comorbidities."
BLATANT-LIE,MIT Scientist Proves COVID-19 Vaccine Has Possible Long Term Side Effects
MOSTLY-FALSE,"“Every 37 seconds, someone is arrested for possession of marijuana.”"
BLATANT-LIE,"Just 50,000 people have died from COVID-only."
FALSE,“DirecTV cancels OAN after Joe Biden orders media outlets and tech giants to banish voices that deviate from the regime’s official narrative.”
FALSE,The alleged hackers of the Commission on Elections servers planned to commit electoral fraud against presidential aspirant Bongbong Marcos
MOSTLY-FALSE,Centers for Disease Control and Prevention study determined previous coronavirus infections offered greater protection against coronavirus than vaccination.
BLATANT-LIE,"“If the FAA is worried about what the 5G deployment will do to the planes, what do you think it will do to our bodies?”"
BLATANT-LIE,COVID-19 Vaccines Are Growing New Variants Inside The Bodies Of The Vaccinated
FALSE, NYPD arrests nine-year-old girl for not showing proof of vaccination.
FALSE,"“If you’re white, you don’t get the [COVID-19] vaccine or if you’re white, you don’t get [COVID-19] therapeutics.”"
FALSE,"Purportedly shows an article published by The Guardian about Michael Spencer, a member of the U.K.’s House of Lords, funding a Congolese militia."
FALSE,"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.”"
FALSE," A picture shows official “Trump 2024” flags being sewn in China with the slogan, “Save America Again!”"
TRUE,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we’ve actually seen voter participation increase, even in off-election years.”"
FALSE,"“Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.”"
BLATANT-LIE,Kris Aquino died after her health deteriorated into a critical condition.
FALSE,Senior citizens have until Jan. 31 to apply for “free dental work” under a recently announced Medicare “stimulus.”
MOSTLY-FALSE,"Fox News avoids lawsuits by claiming that “it’s NOT real news, but rather ‘entertainment.’”"
FALSE,"The Biden-Harris administration “wants to hand out $450,000 to illegal immigrants.”"
FALSE, South Carolina truckers headed for anti-vaccine mandate rally.
MOSTLY-TRUE, President Joe Biden received five draft deferments because of his asthma and thus did not serve in the Vietnam War.
BLATANT-LIE,Australia has recorded 12 times more deaths due to COVID-19 vaccines than from all other vaccines combined over 50 years.
FALSE,“There’s never been a president (before Joe Biden) that has made race and gender the defining factor” for a Supreme Court nomination.
MOSTLY-FALSE,“Total Deaths From COVID MUCH LOWER Than Reported”
FALSE,Dr. Anthony Fauci has never taken care of patients.
BLATANT-LIE,"COVID-19 Vaccines Contain Graphene bubbles, Can Be Remotely Detonated To Explode Like Bombs"
FALSE, Scottish data shows that the Covid-19 age-standardized case rate is highest among the two-dose vaccinated and lowest among unvaccinated! It further shows this trend of negative efficacy for the double-vaccinated persisting for hospitalizations and deaths.
MOSTLY-FALSE," “Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected by Delta EVERY DAY.”"
BLATANT-LIE,"COVID vaccines cause body to produce spike proteins in the brain, lung, heart, bone marrow, sex organs."
FALSE,"COVID-19-induced pneumonia is “is actually mast cell degranulation of the lungs,” a type of allergic reaction."
BLATANT-LIE,An image shared on Facebook purportedly shows an NHS poster that warns the “COVID-19 Vaccine Causes Bell’s Palsy.”
FALSE,“Chicago maintained the lowest unemployment rate through most of 2021 of any large American city.”
BLATANT-LIE,"Ten countries cancelled quarantine, covid procedures, vaccination, and Germany is recommending gargling with salt water to curb COVID"
MOSTLY-TRUE,“Clarence Thomas is about to become the only member of the current Supreme Court who was nominated by a president of one party and confirmed by a Senate controlled by the other party.”
BLATANT-LIE,Wisconsin Assembly Unanimously Votes To Withdraw Biden’s 2020 Electoral Votes
FALSE,"Says Voltaire said, “To learn who rules over you, simply find out who you are not allowed to criticize.”"
MOSTLY-TRUE," A reminder that “Doctor” Rand Paul was a twice sued-for-malpractice eye doctor. He received his certification through an open-book take-home test administered by a non-accredit board that HE set up, consisting of his family."
FALSE,SCOTUS said testing and vaccine mandates were illegal.
BLATANT-LIE,Did rugby player Jordan Michallet die due to Covid-19 vaccine?
FALSE,Proposed changes to the Electoral Count act show Pence had the power and “could have overturned the election!”
BLATANT-LIE,"“Of course, we’ve heard story after story. I mean, all these athletes dropping dead on the field, but we’re supposed to ignore that.”"
NO-EVIDENCE,"“On average, between 1 in 2,000 and 1 in 3,000 children that receive these vaccines will be hospitalized in the short term with vaccine-caused damage.”"
BLATANT-LIE, “Worldwide Data suggests Fully Vaccinated [people] are developing Acquired Immunodeficiency Syndrome”
BLATANT-LIE,"“The Holocaust isn’t about race. No, it’s not about race.”"
BLATANT-LIE,"“Unlike US, #Russia deploys military forces only upon request from host countries. We fulfil [sic] agreements with them and abide by international law.”"
FALSE,The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.
FALSE, Moderna and Pfizer are not Mandating COVID Vaccine For Its Employees.
BLATANT-LIE,Luc Montagnier’s death is linked to his “exposing” that there’s HIV in the COVID-19 vaccine.
FALSE,"Everyone is at Risk for Blood Clots, Even The Healthiest Athletes"
FALSE,CDC lowered speech standard for children because of masking.
BLATANT-LIE,"“As we know, it has already been stated today that Ukraine intends to create its own nuclear weapons, and this is not just bragging.”"
FALSE,A White House official said a fourth round of stimulus payments are being made to eligible American.
FALSE,"“Until 1981, this powerful body, the Supreme Court, was all white men.”"
FALSE,“[A]t a time when we had 2 million illegal immigrants cross our border under Joe Biden’s tenure in office. That’s like adding the entire population of Nebraska to this country.”
BLATANT-LIE," “In 2022, illegal immigrants will have MORE FREEDOMS and easier access to healthcare and ballot boxes than most Americans… Just think about that.”"
FALSE,“Facebook is spamming all climate articles by misleading readers about” the accuracy of climate models.”
